Name,Address,City,State,Website,Phone Number,Folder Name,Source File Name
CREATIVE REUSE,"1865, Lincoln, Hwy, E, Lancaster, PA, 17602, USA",Lancaster,PA,https://www.facebook.com/CreativeReuseAZ/,(717) 617-2977,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
LONG BEACH DEPOT FOR CREATIVE REUSE,"320, Elm, Ave, Long Beach, CA, 90802, USA",Long Beach,CA,http://thelongbeachdepot.org/,(562) 437-9999,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REDISCOVER CENTER INC,"12958, W, Washington, Blvd, Los Angeles, CA, 90066, USA",Los Angeles,CA,https://rediscovercenter.org/,(310) 393-3636,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
East Bay Depot for Creative Reuse Inc.,"4695, Telegraph, Ave, Oakland, CA, 94609, USA",Oakland,CA,http://creativereuse.org/,(510) 547-6470,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
The ReUse People of America,"9235, San Leandro, St, Oakland, CA, 94603, USA",Oakland,CA,http://thereusepeople.org/,(510) 383-1983,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REMAINDERS CREATIVE REUSE INC,"787, E, Washington, Blvd, suite, 101, Pasadena, CA, 91104, USA",Pasadena,CA,http://www.remainderspas.org/,(626) 529-5014,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
ART FORM FOUND OBJECTS RECYCLED MATERIALS,"33-00, Northern, Blvd, 3rd, Floor, Queens, NY, 11101, USA",Queens,NY,http://artformsandiego.org/,(718) 729-3001,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
FRIENDS OF SCRAP INC,"750, Enterprise, Way, Lancaster, PA, 17601, USA",Lancaster,PA,https://www.scrap-sf.org/,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
FABMO INC,"1240, Birchwood, Dr, # 2, Sunnyvale, CA, 94089, USA",Sunnyvale,CA,https://www.fabmo.org/,(650) 282-6548,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
ART PARTS CREATIVE REUSE CENTER,"3080, Valmont, Rd, Boulder, CO, 80301, USA",Boulder,CO,http://www.artpartsboulder.org/,(720) 379-5328,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
ECOWORKS INC,"89, State, St, North Haven, CT, 06473, USA",North Haven,CT,https://ecoworksct.org/,(203) 498-0710,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REPURPOSE PROJECT,"1920, NE, 23rd, Ave, Gainesville, FL, 32609, USA",Gainesville,FL,http://www.repurposeproject.org/,(352) 363-8902,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
LIFECYCLE BUILDING CENTER INC,"1116, Murphy, Ave, SW, Atlanta, GA, 30310, USA",Atlanta,GA,https://www.lifecyclebuildingcenter.org/,(404) 997-3873,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REUSE MARKET INC,"3777, W, Chinden, Blvd, Boise, ID, 83714, USA",Boise,ID,http://www.reusemarket.org/,(208) 717-5103,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Community Reuse Organization,"1, 12th, St, Brooklyn, NY, 11215, USA",Brooklyn,NY,https://www.guidestar.org/profile/20-1688373,(718) 725-8925,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
CREATIVE CHICAGO REUSE EXCHANGE,"2124, W, 82nd, Pl, Chicago, IL, 60620, USA",Chicago,IL,https://www.creativechirx.org/,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
DELTA INSTITUTE BUILDING MATERIAL REUSE CENTER,"Keasbey, NJ, 08832, USA",Keasbey,NJ,https://delta-institute.org,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
ReBuilding Exchange,"1740, W, Webster, Ave, Chicago, IL, 60614, USA",Chicago,IL,https://www.rebuildingexchange.org,(773) 252-2234,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REUSE DEPOT INC,"50, Madison, St, Maywood, IL, 60153, USA",Maywood,IL,https://reusedepot.org,(708) 223-0502,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
IDEA STORE CREATIVE REUSE CENTER,"Keasbey, NJ, 08832, USA",Keasbey,NJ,https://the-idea-store.org,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
COMPUTERS 4 REUSE,"90, Wilson, Ave, Manalapan Township, NJ, 07726, USA",Manalapan Township,NJ,http://computers4reuse.org/,(732) 446-8006,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REUSE IT CENTER INC,"Keasbey, NJ, 08832, USA",Keasbey,NJ,http://www.recyclingcenterinc.com,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Paducah Area Community Reuse Organization,"333, Broadway, St, Suite, 530, Paducah, KY, 42001, USA",Paducah,KY,https://pacroky.com,(270) 442-8622,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Extras for Creative Reuse Inc,"214, N, Lexington, St, Pittsburgh, PA, 15208, USA",Pittsburgh,PA,https://repurposes.org/,(412) 473-0100,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Requipment Durable Medical Equipment &assistive Technology Reuse Program Inc,"119, Main, St, South River, NJ, 08882, USA",South River,NJ,https://dmerequipment.org,(732) 390-9751,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
CENTER FOR ECOTECHNOLOGY INC,"112, Elm, St, Pittsfield, MA, 01201, USA",Pittsfield,MA,https://ecobuildingbargains.org/,(413) 445-4556,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Loading Dock,"89, French, St, New Brunswick, NJ, 08901, USA",New Brunswick,NJ,http://www.loadingdock.org,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Community Forklift,"4671, Tanglewood, Dr, Hyattsville, MD, 20781, USA",Hyattsville,MD,https://communityforklift.org,(301) 985-5180,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Recycle Ann Arbor,"2950, E, Ellsworth, Rd, Ann Arbor, MI, 48108, USA",Ann Arbor,MI,https://www.recycleannarbor.org,(734) 971-7400,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Reuse Minnesota,"883, 29th, Ave, SE, Minneapolis, MN, 55414, USA",Minneapolis,MN,https://www.reusemn.org,(612) 626-9152,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
SHARE CREATE REUSE AND PROMOTE,"214, N, Lexington, St, Pittsburgh, PA, 15208, USA",Pittsburgh,PA,http://scrapinbillings.com,(412) 473-0100,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
THE SCRAP EXCHANGE INC,"2050, Chapel Hill, Rd, Durham, NC, 27707, USA",Durham,NC,https://scrapexchange.org/,(919) 200-0151,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
DENT CREATIVE REUSE CENTER,"Keasbey, NJ, 08832, USA",Keasbey,NJ,https://www.dentws.org,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Cortland ReUse,"245, McLean, Rd, Cortland, NY, 13045, USA",Cortland,NY,https://cortlandreuse.org/,(607) 543-4010,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
BIG INITIATIVES INCORPORATED -- BIG Reuse,"1, 12th, St, Brooklyn, NY, 11215, USA",Brooklyn,NY,https://www.bigreuse.org,(718) 725-8925,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Buffalo Reuse,"980, Northampton, St, Buffalo, NY, 14211, USA",Buffalo,NY,https://www.reuseaction.com,(716) 218-9401,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Finger Lakes ReUse,"Triphammer Marketplace Triphammer Shopping Center, 2255, N, Triphammer, Rd, Ithaca, NY, 14850, USA",Ithaca,NY,https://ithacareuse.org,(607) 257-9699,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Friends of Materials for the Arts,"33-00, Northern, Blvd, 3rd, Floor, Queens, NY, 11101, USA",Queens,NY,https://www.materialsforthearts.org/about/mission/,(718) 729-3001,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
BRING Recycling,"4446, Franklin, Blvd, Eugene, OR, 97403, USA",Eugene,OR,https://bringrecycling.org,(541) 746-3023,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
SCRAP PDX,"1736, SW, Alder, St, Portland, OR, 97205, USA",Portland,OR,http://scrappdx.org,(503) 294-0769,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Art of Recycle,"27, Cloister, Ave, Ephrata, PA, 17522, USA",Ephrata,PA,https://artofrecycle.org/,(717) 466-6966,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REWIND - REUSE CENTER AND WORKSHOP,"5853, Washington, Ave, Export, PA, 15632, USA",Export,PA,http://rewindreusecenter.org,(724) 900-6638,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
LANCASTER CREATIVE REUSE,"1865, Lincoln, Hwy, E, Lancaster, PA, 17602, USA",Lancaster,PA,http://www.lancastercreativereuse.org,(717) 617-2977,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Pittsburgh Center for Creative Reuse,"214, N, Lexington, St, Pittsburgh, PA, 15208, USA",Pittsburgh,PA,http://pccr.org,(412) 473-0100,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Srs Community Reuse Organization,"Aiken Technical College, 2276, Jefferson Davis, Hwy, Graniteville, SC, 29829, USA",Graniteville,SC,https://srscro.org,(803) 508-7402,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
RECRAFT CREATIVE REUSE CENTER,"2439, Laurens, Rd, Greenville, SC, 29607, USA",Greenville,SC,https://www.recraftgvl.org,(864) 365-6456,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REUSE CENTER INC,"Keasbey, NJ, 08832, USA",Keasbey,NJ,http://www.recyclingcenterinc.com,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Turnip Green Creative Reuse,"1014, 3rd, Ave, S, Nashville, TN, 37210, USA",Nashville,TN,https://www.turnipgreencreativereuse.org,(615) 720-7480,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Austin Creative Reuse,"2005, Wheless, Ln, Austin, TX, 78723, USA",Austin,TX,https://www.austincreativereuse.org,(512) 375-3041,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
HOUSTON BAY AREA CREATIVE REUSE,"1719, Live Oak, St, Houston, TX, 77003, USA",Houston,TX,https://www.facebook.com/pg/HBAReuse/posts/,(713) 224-5220,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Upcycle Creative Reuse Center,"5380-D, Eisenhower, Ave, Alexandria, VA, 22314, USA",Alexandria,VA,https://www.upcyclecrc.org,(703) 861-8705,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
Water Environment and Reuse Foundation,"1199, N, Fairfax, St, # 900, Alexandria, VA, 22314, USA",Alexandria,VA,https://www.waterrf.org,(571) 384-2100,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
NOVA CREATIVE REUSE CENTER,"Lower Level, 203, Loudoun, St, SW, Leesburg, VA, 20175, USA",Leesburg,VA,https://www.novacrc.org,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
757 CREATIVE REUSE CENTER,"300, Monticello, Ave, Unit, 206, Norfolk, VA, 23510, USA",Norfolk,VA,https://creativereusecenter.org/,(757) 937-3821,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
REBOOT REUSE REBUILD INC,"68, 3rd, St., Brooklyn, NY, 11231, USA",Brooklyn,NY,http://www.rebootreuserebuild.org,(212) 388-1010,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
ReUse Works,"Keasbey, NJ, 08832, USA",Keasbey,NJ,www.reuseworks.org,,Sampling of Reuse Orgs Nationally (v7),ReUse Orgs.kml
